Name,Type,Personality,Energy-Level,Good-With-Children,Good-With-Other-Dogs,Shedding, Grooming,Tranability,Height,Weight,Life-Expectancy,Barking-Level,Summary-Energy,Summary-Size
German Longhaired Pointer,Not found!,"Playful, smart, adaptable, and completely irresistible","Not Very Active; Frenchies are easygoing, not terribly athletic; brisk walks will keep them trim",Yes,With Supervision,Seasonal,Occasional,Responds Well,11-13 inches,under 28 pounds,10-12 years,Quiet,low energy,small size
German Pinscher,Working Group,"Intelligent, determined, assertive; playful and vivacious into old age","Very Active; High-energy GPs are quick, athletic, and enthusiastic",Better with Supervision,With Supervision,Seasonal,Occasional,Responds Well,17-20 inches,25-45 pounds,12-14 years,Barks When Necessary,high energy,medium size
German Shepherd Dog,Herding Group,"Smart, confident, courageous, and steady; a true dog lover's dog",Very Active; These big guys were born to work; they require regular mental and physical exercise,Yes,With Supervision,Frequent,Occasional,Eager To Please,"24-26 inches (male), 22-24 inches (female)","65-90 pounds (male), 50-70 pounds (female)",7-10 years,Barks When Necessary,medium energy,large size
German Shorthaired Pointer,Sporting Group,"Friendly, smart, willing to please","Very Active; Like most pointing breeds, GSPs thrive on running and exercise",Yes,With Supervision,Seasonal,Occasional,Eager To Please,"23-25 inches (male), 21-23 inches (female)","55-70 pounds (male), 45-60 pounds (female)",10-12 years,Barks When Necessary,high energy,medium size
German Wirehaired Pointer,Sporting Group,"Affectionate, eager, enthusiastic; aloof but not unfriendly with strangers","Very Active; GWPs are versatile, upbeat athletes who thrive on outdoor sports",Better with Supervision,With Supervision,Seasonal,Occasional,Eager To Please,"24-26 inches (male), minimum 22 inches (female)",50-70 pounds,14-16 years,Barks When Necessary,high energy,medium size
Giant Schnauzer,Working Group,"Loyal, alert, trainable, with the stable temperament required in big dogs of great strength","Very Active; More energetic and up-tempo than most big breeds, Giants need lots of exercise",Better with Supervision,With Supervision,"Seasonal, Hypoallergenic",Weekly,Eager To Please,"25.5-27.5 inches (male), 23.5-25.5 inches (female)","60-85 pounds (male), 55-75 pounds (female)",12-15 years,Barks When Necessary,high energy,large size
Glen of Imaal Terrier,Terrier Group,"Gentler, less excitable than most terriers, but still bold and spirited","Somewhat Active; By no means a frantic dog, but Glens do like intense play, digging, and exploring",Better with Supervision,With Supervision,Seasonal,Weekly,Responds Well,12.5-14 inches,32-40 pounds,10-15 years,Quiet,medium energy,medium size
Golden Retriever,Sporting Group,"Intelligent, friendly, and devoted.","Very Active; This dog is active and energetic, and needs daily exercise.",Yes,Yes,Seasonal,Occasional,Eager To Please,"23-24 inches (male), 21.5-22.5 inches (female)","65-75 pounds (male), 55-65 pounds (female)",10-12 years,Barks When Necessary,medium energy,large size
Gordon Setter,Sporting Group,"Bold, confident, and resolute afield; sweetly affectionate by the fireside","Somewhat Active; Athletic and outdoorsy, Gordons need activity to stave off boredom",Better with Supervision,With Supervision,Seasonal,Occasional,Responds Well,"24-27 inches (male), 23-26 inches (female)","55-80 pounds (male), 45-70 pounds (female)",12-13 years,Likes To Be Vocal,high energy,large size
Great Dane,Working Group,"Friendly, patient, & dependable.","Somewhat Active; Sedate, easygoing dogs, Danes enjoy a good walk two or three times daily.",Better with Supervision,With Supervision,Seasonal,Occasional,Eager To Please,"30-34 inches (male), 28-32 inches (female)","120-200 pounds (male), 99-130 pounds (female)",6-8 years,Barks When Necessary,medium energy,large size
Great Pyrenees,Working Group,"Calm, patient, smart; strong-willed yet affectionate","Somewhat Active; Not a particularly active dog, but these big guys need their exercise",Better with Supervision,With Supervision,Seasonal,Occasional,Independent,"27-32 inches (male), 25-29 inches (female)","100 pounds & up (male), 85 pounds & up (female)",10-12 years,Likes To Be Vocal,medium energy,large size
Greater Swiss Mountain Dog,Working Group,"Faithful, dependable, family oriented; Swissies are famously even-tempered","Somewhat Active; Mellow around the house, but these blue-collar bruisers enjoy hard work",Yes,With Supervision,Seasonal,Occasional,Responds Well,"25.5-28.5 inches (male), 23.7-27 inches (female)","115-140 pounds (male), 85-110 pounds (female)",8-11 years,Barks When Necessary,medium energy,large size
Greyhound,Hound Group,"Independent, gentle, noble, and oh so sweet, but intense when on the run","Somewhat Active; Greyhounds need regular time to sprint, but otherwise they’re mellow housedogs",Better with Supervision,Yes,Seasonal,Occasional,Independent,"28-30 inches (male), 27-28 inches (female)","65-70 pounds (male), 60-65 pounds (female)",10-13 years,Barks When Necessary,medium energy,large size
Hanoverian Scenthound,Hound Group,"Independent, gentle, noble, and oh so sweet, but intense when on the run","Somewhat Active; Greyhounds need regular time to sprint, but otherwise they’re mellow housedogs",Better with Supervision,Yes,Seasonal,Occasional,Independent,"28-30 inches (male), 27-28 inches (female)","65-70 pounds (male), 60-65 pounds (female)",10-13 years,Barks When Necessary,medium energy,medium size
Harrier,Hound Group,"Outgoing and friendly; true pack hounds, they generally get on well with other dogs","Somewhat Active; Harriers are world-class runners and sniffers, but easygoing enough to settle down",Yes,Yes,Seasonal,Occasional,Responds Well,19-21 inches,45-60 pounds,12-15 years,Likes To Be Vocal,high energy,medium size
Havanese,Toy Group,"Outgoing, funny, intelligent","Somewhat Active; Curious, sociable dogs, Havanese enjoy a good romp but have no special exercise needs",Yes,With Supervision,Infrequent,Weekly,Eager To Please,8.5-11.5 inches,7-13 pounds,14-16 years,Barks When Necessary,medium energy,small size
Hokkaido,Working Group,"Outgoing, funny, intelligent","Somewhat Active; Curious, sociable dogs, Havanese enjoy a good romp but have no special exercise needs",Yes,With Supervision,Infrequent,Weekly,Eager To Please,8.5-11.5 inches,7-13 pounds,14-16 years,Barks When Necessary,high energy,medium size
Hovawart,Not found!,"Outgoing, funny, intelligent","Somewhat Active; Curious, sociable dogs, Havanese enjoy a good romp but have no special exercise needs",Yes,With Supervision,Infrequent,Weekly,Eager To Please,8.5-11.5 inches,7-13 pounds,14-16 years,Barks When Necessary,medium energy,medium size
Ibizan Hound,Hound Group,"Even-tempered and polite; a bit aloof, but a sweet-natured, family-oriented housemate","Very Active; World-class sprinters and leapers, Beezers need ample, secure space to air out their engines",Better with Supervision,Yes,Infrequent,Occasional,Independent,"23.5-27.5 inches (male), 22.5-26 inches (female)","50 pounds (male), 45 pounds (female)",11-14 years,Barks When Necessary,high energy,medium size
Icelandic Sheepdog,Herding Group,"Confident, cheerful, sociable; the expression “man’s best friend” was coined for dogs like this",Very Active; A true herding dog,Yes,With Supervision,Seasonal,Occasional,Eager To Please,"18 inches (male), 16.5 inches (female)","30 pounds (male), 25 pounds (female)",12-14 years,Likes To Be Vocal,medium energy,medium size
Irish Red and White Setter,Sporting Group,"Fun-loving, friendly, high-spirited; a real handful if bored or neglected",Very Active; Rollicking Red and Whites are athletes bred primarily for hunting,Yes,Yes,Seasonal,Occasional,Eager To Please,"24.5-26 inches (male), 22.5-24 inches (female)","42-60 pounds (male), 35-50 pounds (female)",11-15 years,Barks When Necessary,high energy,medium size
Irish Setter,Sporting Group,"Outgoing, sweet-natured, active, and trainable","Very Active; High-energy dogs who love to run, Irish Setters need plenty of space and exercise",Yes,Yes,Seasonal,Weekly,Responds Well,"27 inches (male), 25 inches (female)","70 pounds (male), 60 pounds (female)",12-15 years,Barks When Necessary,high energy,large size
Irish Terrier,Terrier Group,"Bold, dashing, even reckless; stouthearted at work, tenderhearted at home",Very Active; They don’t call him the Daredevil for nothing,Yes,Not Recommended,Seasonal,Occasional,Responds Well,18 inches,"27 pounds (male), 25 pounds (female)",13-15 years,Barks When Necessary,medium energy,medium size
Irish Water Spaniel,Sporting Group,"Alert and inquisitive; hardworking and brave in the field, playful and affectionate at home","Somewhat Active; They’re athletic, all-weather dogs who crave exercise, especially swimming",Better with Supervision,With Supervision,"Seasonal, Hypoallergenic",Occasional,Eager To Please,"22-24 inches (male), 21-23 inches (female)","55-68 pounds (male), 45-58 pounds (female)",12-13 years,Barks When Necessary,high energy,medium size
Irish Wolfhound,Hound Group,"Calm, dignified, kindly; courageous but not aggressive","Somewhat Active; Mellow and docile, IWs are still athletic coursing hounds who enjoy a good gallop",Better with Supervision,With Supervision,Seasonal,Occasional,Responds Well,"32 inches minimum (male), 30 inches minimum (female)","120 pounds (male), 105 pounds (female)",6-8 years,Barks When Necessary,medium energy,large size
Italian Greyhound,Toy Group,"Sensitive and alert, playful, highly affectionate","Somewhat Active; IGs are dainty housedogs, but at heart they’re still flash-and-dash coursing hounds",Better with Older Children,Yes,Seasonal,Occasional,Responds Well,13-15 inches,7-14 pounds,14-15 years,Barks When Necessary,medium energy,small size
Jagdterrier,Not found!,"Sensitive and alert, playful, highly affectionate","Somewhat Active; IGs are dainty housedogs, but at heart they’re still flash-and-dash coursing hounds",Better with Older Children,Yes,Seasonal,Occasional,Responds Well,13-15 inches,7-14 pounds,14-15 years,Barks When Necessary,low energy,small size
Japanese Chin,Toy Group,A true aristocrat,"Somewhat Active; Favorite sports include walking, learning tricks, and hopping into your lap",Better with Older Children,Yes,Seasonal,Occasional,Independent,8-11 inches,7-11 pounds,10-12 years,Quiet,medium energy,small size
Jindo,Non Sporting Group,A true aristocrat,"Somewhat Active; Favorite sports include walking, learning tricks, and hopping into your lap",Better with Older Children,Yes,Seasonal,Occasional,Independent,8-11 inches,7-11 pounds,10-12 years,Quiet,medium energy,medium size
Kai Ken,Not found!,A true aristocrat,"Somewhat Active; Favorite sports include walking, learning tricks, and hopping into your lap",Better with Older Children,Yes,Seasonal,Occasional,Independent,8-11 inches,7-11 pounds,10-12 years,Quiet,low energy,medium size
Karelian Bear Dog,Not found!,A true aristocrat,"Somewhat Active; Favorite sports include walking, learning tricks, and hopping into your lap",Better with Older Children,Yes,Seasonal,Occasional,Independent,8-11 inches,7-11 pounds,10-12 years,Quiet,high energy,small size
Keeshond,Non Sporting Group,"Outgoing, lively, friendly to all; a lover, not a fighter","Somewhat Active; Keeshonden appreciate several walks a day, the better to make new friends and explore new places",Yes,With Supervision,Seasonal,Weekly,Eager To Please,"18 inches (male), 17 inches (female)",35-45 pounds,12-15 years,Barks When Necessary,medium energy,medium size
Kerry Blue Terrier,Terrier Group,"Smart and alert; people oriented, with a dash of Irish humor in his heart","Somewhat Active; Lively, vivacious, and up for anything, Kerries need room to romp and explore",Better with Older Children,Not Recommended,"Infrequent, Hypoallergenic",Weekly,Independent,"18-19.5 inches (male), 17.5-19 inches (female)","33-40 pounds (male), females weigh slightly less than males",12-15 years,Barks When Necessary,medium energy,medium size
Kishu Ken,Not found!,"Smart and alert; people oriented, with a dash of Irish humor in his heart","Somewhat Active; Lively, vivacious, and up for anything, Kerries need room to romp and explore",Better with Older Children,Not Recommended,"Infrequent, Hypoallergenic",Weekly,Independent,"18-19.5 inches (male), 17.5-19 inches (female)","33-40 pounds (male), females weigh slightly less than males",12-15 years,Barks When Necessary,low energy,small size
Komondor,Working Group,"Dignified, brave, protective, steadfastly loyal","Somewhat Active; A Kom without a big, fenced-in area to patrol will need two or three good walks daily",Better with Older Children,Not Recommended,Seasonal,Daily,Responds Well,"27.5 minimum inches (male), 25.5 minimum inches (female)","100 pounds or more (male), 80 pounds or more (female)",10-12 years,Barks When Necessary,medium energy,large size
Kuvasz,Working Group,"Intensely loyal, protective, utterly fearless; sweet and patient with family",Somewhat Active; More spirited and energetic than most members of the 100-pound club,Better with Supervision,With Supervision,Seasonal,Occasional,Independent,"28-30 inches (male), 26-28 inches (female)","100-115 pounds (male), 70-90 pounds (female)",10-12 years,Barks When Necessary,medium energy,large size
Labrador Retriever,Sporting Group,"Friendly and outgoing, Labs play well with others",Very Active; Labs are high-spirited and not afraid to show it,Yes,With Supervision,Seasonal,Occasional,Eager To Please,"22.5-24.5 inches (male), 21.5-23.5 inches (female)","65-80 pounds (male), 55-70 pounds (female)",10-12 years,Barks When Necessary,high energy,medium size
Lagotto Romagnolo,Sporting Group,"Easygoing, affectionate, and eager to please","Somewhat Active; curious and upbeat, but not hyper",Better with Supervision,Yes,"Infrequent, Hypoallergenic",Occasional,Eager To Please,"17-19 inches (male), 16-18 inches (female)","28.5-35 pounds (male), 24-31 pounds (female)",15-17 years,Barks When Necessary,high energy,medium size
Lakeland Terrier,Terrier Group,"Brave, bright, confident; affectionate with family, especially kids",Very Active; Bold and zesty Lakies need outlets for their energy; known as backyard “escape artists”,Better with Supervision,With Supervision,Seasonal,Occasional,Responds Well,"14-15 inches (male), slightly smaller (female)","17 pounds (male), slightly smaller (female)",12-15 years,Barks When Necessary,medium energy,small size
Lapponian Herder,Herding Group,"Brave, bright, confident; affectionate with family, especially kids",Very Active; Bold and zesty Lakies need outlets for their energy; known as backyard “escape artists”,Better with Supervision,With Supervision,Seasonal,Occasional,Responds Well,"14-15 inches (male), slightly smaller (female)","17 pounds (male), slightly smaller (female)",12-15 years,Barks When Necessary,low energy,medium size
Leonberger,Working Group,"Bright, patient, loving, and family oriented","Somewhat Active; Rambunctious when pups, adult Leos enjoy long walks and activities like swimming and cart pulling","Yes, with Supervision",With Supervision,Lots of Shedding,Weekly,Eager To Please,"28-31.5 inches (male), 25.5-29.5 inches (female)","110-170 pounds (male), 90-140 pounds (female)",7-10 years,Barks When Necessary,medium energy,large size
Lhasa Apso,Non Sporting Group,"Smart, confident, complex; a family comedian, but regally aloof with strangers","Somewhat Active; Calm but fun-loving, Lhasas enjoy brisk walks and clowning for loved ones",Better with Older Children,With Supervision,Infrequent,Weekly,Independent,"10-11 inches (male), slightly smaller (female)",12-18 pounds,12-15 years,Barks When Necessary,medium energy,small size
Lowchen,Non Sporting Group,"Smart, confident, complex; a family comedian, but regally aloof with strangers","Somewhat Active; Calm but fun-loving, Lhasas enjoy brisk walks and clowning for loved ones",Better with Older Children,With Supervision,Infrequent,Weekly,Independent,"10-11 inches (male), slightly smaller (female)",12-18 pounds,12-15 years,Barks When Necessary,medium energy,small size
Maltese,Toy Group,"Gentle, playful, affectionate; fearless in a charming toy-dog way.","Somewhat Active; A classic lapdog, but Maltese still like brisk walks, playtime, and learning tricks.",Better with Older Children,With Supervision,Infrequent,Weekly,Responds Well,8-10 inches,6-8 pounds,12-15 years,Barks When Necessary,medium energy,small size
Manchester Terrier,Terrier Group,"Spirited, bright, keenly observant; dead loyal, in an independent terrier way","Somewhat Active; Swift and athletic, Manchesters need time and space to enjoy being themselves",Better with Supervision,With Supervision,Infrequent,Occasional,Responds Well,"10-12 inches (toy), 15-16 inches (standard)","under 12 pounds (toy), 12-22 pounds (standard)",15-17 years,Barks When Necessary,medium energy,small size
Mastiff,Working Group,"Courageous and dignified, but good-natured and docile",Somewhat Active; An adult Mastiff is content with long walks and a good romp,Yes,With Supervision,Seasonal,Occasional,Responds Well,"30 inches & up (male), 27.5 inches & up (female)","160-230 pounds (male), 120-170 pounds (female)",6-10 years,Barks When Necessary,medium energy,large size
Miniature American Shepherd,Herding Group,"Smart, watchful, lively; a loyal snuggler when off-duty",Very Active; enjoys physical activity and training,Yes,Yes,Seasonal,Occasional,Eager To Please,"14-18 inches (male), 13-17 inches (female)",20-40 pounds,12-13 years,Barks When Necessary,high energy,medium size
Miniature Bull Terrier,Terrier Group,"Upbeat, mischievous, comical, with terrier fire and fearlessness","Very Active; Cavorting, clowning, and curious, Minis are bold adventure seekers",Better with Older Children,With Supervision,Infrequent,Occasional,Independent,10-14 inches,18-28 pounds,11-13 years,Barks When Necessary,medium energy,small size
Miniature Pinscher,Toy Group,"Proud, fearless, and fun-loving, Min Pins are a true “personality breed""","Very Active; Athletic, and game for any activity, Min Pins need regular exercise to maintain their taut, wedge-shaped physique",Better with Older Children,With Supervision,Infrequent,Occasional,Independent,10-12.5 inches,8-10 pounds,12-16 years,Likes To Be Vocal,medium energy,small size
Miniature Schnauzer,Terrier Group,"Friendly, smart, obedient","Somewhat Active; Alert, lively dogs, they enjoy playtime and brisk long walks",Yes,With Supervision,"Infrequent, Hypoallergenic",Daily,Eager To Please,12-14 inches,11-20 pounds,12-15 years,Likes To Be Vocal,medium energy,small size
Mountain Cur,Hound Group,"Friendly, smart, obedient","Somewhat Active; Alert, lively dogs, they enjoy playtime and brisk long walks",Yes,With Supervision,"Infrequent, Hypoallergenic",Daily,Eager To Please,12-14 inches,11-20 pounds,12-15 years,Likes To Be Vocal,high energy,medium size
Mudi,Herding Group,"Friendly, smart, obedient","Somewhat Active; Alert, lively dogs, they enjoy playtime and brisk long walks",Yes,With Supervision,"Infrequent, Hypoallergenic",Daily,Eager To Please,12-14 inches,11-20 pounds,12-15 years,Likes To Be Vocal,low energy,medium size
Neapolitan Mastiff,Working Group,"Watchful and dignified; sweet, steady, and loyal with loved ones, calm but wary with strangers","Not Very Active; This placid, lumbering dog should be walked a few times a day",Better with Supervision,With Supervision,Seasonal,Occasional,Independent,"26-31 inches (male), 24-29 inches (female)","150 pounds (male), 110 pounds (female)",7-9 years,Barks When Necessary,medium energy,large size
Nederlandse Kooikerhondje,Miscellaneous,"Watchful and dignified; sweet, steady, and loyal with loved ones, calm but wary with strangers","Not Very Active; This placid, lumbering dog should be walked a few times a day",Better with Supervision,With Supervision,Seasonal,Occasional,Independent,"26-31 inches (male), 24-29 inches (female)","150 pounds (male), 110 pounds (female)",7-9 years,Barks When Necessary,medium energy,medium size
Newfoundland,Working Group,"Sweet, patient, devoted; Newfs are famously good companions","Somewhat Active; Newfs like using their big, powerful bodies—they need some room to romp",Yes,With Supervision,Seasonal,Occasional,Eager To Please,"28 inches (male), 26 inches (female)","130-150 pounds (male), 100-120 pounds (female)",9-10 years,Barks When Necessary,medium energy,large size
Norfolk Terrier,Terrier Group,"Alert, fearless, fun-loving, and more sociable than the usual terrier","Very Active; Brisk walks, socializing, and games of fetch will expend some of their boundless energy",Yes,With Supervision,Seasonal,Occasional,Responds Well,9-10 inches,11-12 pounds,12-16 years,Barks When Necessary,medium energy,small size
Norrbottenspets,Miscellaneous,"Alert, fearless, fun-loving, and more sociable than the usual terrier","Very Active; Brisk walks, socializing, and games of fetch will expend some of their boundless energy",Yes,With Supervision,Seasonal,Occasional,Responds Well,9-10 inches,11-12 pounds,12-16 years,Barks When Necessary,low energy,small size
Norwegian Buhund,Herding Group,"Smart, perceptive, confident, and a total sweetheart","Very Active; Buhunds are lively, agile dogs who like to keep busy",Better with Supervision,With Supervision,Seasonal,Occasional,Eager To Please,"17-18.5 inches (male), 16-17.5 inches (female)","31-40 pounds (male), 26-35 pounds (female)",12-15 years,Likes To Be Vocal,medium energy,medium size
Norwegian Elkhound,Hound Group,"Confident, dependable; dignified but friendly","Somewhat Active; Elkhounds are robust, athletic dogs who thrive on exercise",Better with Supervision,With Supervision,Seasonal,Occasional,Responds Well,"20.5 inches (male), 19.5 inches (female)","55 pounds (male), 48 pounds (female)",12-15 years,Barks When Necessary,medium energy,medium size
Norwegian Lundehund,Non Sporting Group,"Loving and loyal, also brave, tenacious, and a bit stubborn","Very Active; Agile, energetic, and dogdom's champion climber—the perfect hiker’s companion",Better with Supervision,With Supervision,Seasonal,Occasional,Responds Well,"13-15 inches (male), 12-14 inches (female)",20-30 pounds,12-15 years,Barks When Necessary,medium energy,small size
Norwich Terrier,Terrier Group,"plucky, loyal, and affectionate","Very Active; A tireless, alert companion, a Norwich enjoys exploring the world around him",Yes,With Supervision,Seasonal,Weekly,Responds Well,10 inches,12 pounds,12-15 years,Barks When Necessary,medium energy,small size
Nova Scotia Duck Tolling Retriever,Sporting Group,"Smart, outgoing, busy; as affectionate and eager to please as any good retriever","Very Active; Play fetch with a Toller till your right arm falls off, then start throwing lefty",Yes,With Supervision,Seasonal,Occasional,Eager To Please,"18-21 inches (male), 17-20 inches (female)",35-50 pounds,12-14 years,Barks When Necessary,high energy,medium size
Old English Sheepdog,Herding Group,"Adaptable, smart, gentle; OES are famous for their sweet, agreeable nature","Somewhat Active; A mellow housedog, but the OES is a big, agile dog who likes exploring, long walks, and a good gallop",Better with Supervision,With Supervision,Seasonal,Weekly,Responds Well,"22 inches & up (male), 21 inches & up (female)",60-100 pounds,10-12 years,Barks When Necessary,medium energy,large size
Otterhound,Hound Group,A big-personality dog,"Somewhat Active; These playful, athletic, all-weather hounds enjoy their exercise—swimming a specialty",Better with Older Children,With Supervision,Seasonal,Occasional,Independent,"27 inches (male), 24 inches (female)","115 pounds (male), 80 pounds (female)",10-13 years,Barks When Necessary,medium energy,large size
Papillon,Toy Group,"Happy, alert, friendly","Very Active; Curious, quick, and athletic, Paps like exercise and take to training",Yes,With Supervision,Seasonal,Occasional,Eager To Please,8-11 inches,5-10 pounds,14-16 years,Barks When Necessary,medium energy,small size
Parson Russell Terrier,Terrier Group,"Bold, friendly, athletic, and clever","Very Active; These are energetic, alert terriers who require plenty of exercise and attention",Better with Supervision,Yes,Seasonal,Occasional,Responds Well,"14 inches (male), 13 inches (female)",13-17 pounds,13-15 years,Barks When Necessary,high energy,medium size
Pekingese,Toy Group,"Affectionate, loyal, regal in manner",Not Very Active; Pekes do well with just a couple of walks a day and some indoor playtime,Better with Older Children,With Supervision,Seasonal,Weekly,Independent,6-9 inches,up to 14 pounds,12-14 years,Quiet,low energy,small size
Pembroke Welsh Corgi,Herding Group,"Smart and alert, affectionate but not pushy, bold but kindly.","Very Active; A strong and athletic little dog, the Pembroke loves physical activity and is happiest when he has a job to do.",Better with Supervision,With Supervision,Frequent,Occasional,Responds Well,10-12 inches,"up to 30 pounds (male), up to 28 pounds (female)",12-13 years,Barks When Necessary,medium energy,medium size
Peruvian Inca Orchid,Miscellaneous,"Smart and alert, affectionate but not pushy, bold but kindly.","Very Active; A strong and athletic little dog, the Pembroke loves physical activity and is happiest when he has a job to do.",Better with Supervision,With Supervision,Frequent,Occasional,Responds Well,10-12 inches,"up to 30 pounds (male), up to 28 pounds (female)",12-13 years,Barks When Necessary,medium energy,small size
Pharaoh Hound,Hound Group,"Smart and alert; noble, but friendly and affectionate","Somewhat Active; Playful and energetic sprinters outdoors, they settle down nicely at home",Better with Supervision,Yes,Infrequent,Occasional,Independent,"23-25 inches (male), 21-24 inches (female)",45-55 pounds,12-14 years,Barks When Necessary,medium energy,medium size
Plott,Hound Group,"Sweetly gentle with people, but fearless, implacable, and bold at work","Very Active; Plotts are tough, relentless athletes requiring lots of exercise and outdoors time",Better with Supervision,Yes,Seasonal,Occasional,Responds Well,"20-25 inches (male), 20-23 inches (female)","50-60 pounds (male), 40-55 pounds (female)",12-14 years,Likes To Be Vocal,medium energy,medium size
Pointer,Sporting Group,"Even-tempered, alert, hardworking, and loyal; a peerless hunting partner","Very Active; Energetic, hard-driving gundogs, Pointers crave serious exercise",Better with Supervision,Yes,Seasonal,Occasional,Responds Well,"25-28 inches (male), 23-26 inches (female)","55-75 pounds (male), 45-65 pounds (female)",12-17 years,Barks When Necessary,medium energy,medium size
Polish Lowland Sheepdog,Herding Group,"Lively, clever, confident; very loyal, but an independent worker","Very Active; Born workers, PONs thrive on exercise and activity",Better with Supervision,With Supervision,Non-shedding,Weekly,Independent,"18-20 inches (male), 17-19 inches (female)",30-50 pounds,12-14 years,Barks When Necessary,medium energy,medium size
Pomeranian,Toy Group,"Lively, bold, and inquisitive—a prototypical ""personality breed""",Somewhat Active; Pomeranians are playful and vivacious but also love to be lapdogs,Better with Supervision,With Supervision,Seasonal,Weekly,Responds Well,6-7 inches,3-7 pounds,12-16 years,Barks When Necessary,medium energy,small size
Poodle,Non Sporting Group,"Proud, active and very smart.","Very Active; Poodles are enthusiastic walkers, runners, and swimmers. They're eager for all kinds of activity, and they enjoy keeping busy.",Yes,With Supervision,"Infrequent, Hypoallergenic",Daily,Eager To Please,"10 inches & under (toy), 10-15 inches (miniature), over 15 inches (standard)","4-6 pounds (toy), 10-15 pounds (miniature), 60-70 pounds (male standard), 40-50 pounds (female standard)",10-18 years,Barks When Necessary,medium energy,medium size
Porcelaine,Hound Group,"Proud, active and very smart.","Very Active; Poodles are enthusiastic walkers, runners, and swimmers. They're eager for all kinds of activity, and they enjoy keeping busy.",Yes,With Supervision,"Infrequent, Hypoallergenic",Daily,Eager To Please,"10 inches & under (toy), 10-15 inches (miniature), over 15 inches (standard)","4-6 pounds (toy), 10-15 pounds (miniature), 60-70 pounds (male standard), 40-50 pounds (female standard)",10-18 years,Barks When Necessary,high energy,large size
Portuguese Podengo,Miscellaneous,"Proud, active and very smart.","Very Active; Poodles are enthusiastic walkers, runners, and swimmers. They're eager for all kinds of activity, and they enjoy keeping busy.",Yes,With Supervision,"Infrequent, Hypoallergenic",Daily,Eager To Please,"10 inches & under (toy), 10-15 inches (miniature), over 15 inches (standard)","4-6 pounds (toy), 10-15 pounds (miniature), 60-70 pounds (male standard), 40-50 pounds (female standard)",10-18 years,Barks When Necessary,high energy,medium size
Portuguese Podengo Pequeno,Hound Group,"Lively, alert, playful; charming and well mannered around the house","Very Active; Quick and athletic, Pequenos love to run, romp, and chase",Better with Supervision,Yes,Seasonal,Occasional,Responds Well,8-12 inches,9-13 pounds,12-15 years,Barks When Necessary,medium energy,small size
Portuguese Water Dog,Working Group,The PWD is an “A” student,"Very Active; On land or in the water, the spirited PWD will always keep up",Yes,With Supervision,"Seasonal, Hypoallergenic",Weekly,Eager To Please,"20-23 inches (male), 17-21 inches (female)","42-60 pounds (male), 35-50 pounds (female)",11-13 years,Barks When Necessary,high energy,medium size
Pug,Toy Group,"Even-tempered, charming, mischievous and loving","Somewhat Active; Pugs are not exactly natural athletes, but they do have strong legs and endless curiosity—exercise both regularly",Better with Supervision,With Supervision,Seasonal,Occasional,Responds Well,10-13 inches,14-18 pounds,13-15 years,Barks When Necessary,medium energy,small size
Puli,Herding Group,"Loyal, smart, home-loving; strong-willed but trainable","Very Active; a hardworking herder, the Puli likes activity and running room",Better with Supervision,With Supervision,Infrequent,Daily,Responds Well,"17 inches (male), 16 inches (female)",25-35 pounds,10-15 years,Barks When Necessary,medium energy,medium size
Pyrenean Shepherd,Herding Group,"Enthusiastic, mischievous, and whip-smart; playful with family, wary of strangers","Very Active; These bright, indefatigable workaholics live for exercise and mental challenges",Better with Supervision,With Supervision,Seasonal,Occasional,Responds Well,"15.5-18.5 inches (male rough-faced), 15-18 inches (female rough-faced), 15.5-21 inches (male smooth-faced), 15.5-20.5 inches (female smooth-faced)",15-30 pounds,Late teens,Likes To Be Vocal,high energy,medium size
Rat Terrier,Terrier Group,"Friendly, lovable, inquisitive; fearlessly game for just about anything","Very Active; A busy, active dog of seemingly boundless energy",Yes,With Supervision,Seasonal,Occasional,Eager To Please,"10-13 inches (miniature), 13-18 inches (standard)",10-25 pounds,12-18 years,Barks When Necessary,medium energy,small size
Redbone Coonhound,Hound Group,"Friendly, lovable, inquisitive; fearlessly game for just about anything","Very Active; A busy, active dog of seemingly boundless energy",Yes,With Supervision,Seasonal,Occasional,Eager To Please,"10-13 inches (miniature), 13-18 inches (standard)",10-25 pounds,12-18 years,Barks When Necessary,medium energy,medium size
Rottweiler,Working Group,Reserved with strangers and affectionate and loyal with his family.,The Rottie needs at least two solid workouts daily; he would really appreciate it if these always included you!,Better with Supervision,With Supervision,Seasonal,Occasional,Responds Well,"24-27 inches (male), 22-25 inches (female)","110-130 pounds (male), 77-110 pounds (female)",8-10 years,Barks When Necessary,medium energy,medium size
Russell Terrier,Terrier Group,"Alert, lively, inquisitive, and friendly","Very Active; Eager, tireless terriers, Russells need plenty of playtime and exercise",Better with Supervision,Yes,Seasonal,Occasional,Responds Well,10-12 inches,9-15 pounds,12-14 years,Barks When Necessary,high energy,small size
Russian Toy,Toy Group,"Alert, lively, inquisitive, and friendly","Very Active; Eager, tireless terriers, Russells need plenty of playtime and exercise",Better with Supervision,Yes,Seasonal,Occasional,Responds Well,10-12 inches,9-15 pounds,12-14 years,Barks When Necessary,medium energy,small size
